,precio_original,precio_estimado_lineal,error_lineal,precio_estimado_SVR,error_SVG,abs_error_SVG,precio_estimado_RFR,error_RFR,abs_error_RFR,precio_estimado_XGB,error_XGB,abs_error_XGB
0,3020.99902111812,2297.2077991255824,723.7912219925374,2769.321664313245,251.67735680487476,251.67735680487476,3032.6757657211347,-11.676744603014868,11.676744603014868,3070.83,-49.8310570068802,49.8310570068802
1,4621.998287617692,5339.563749595759,-717.5654619780671,4963.207180574787,-341.2088929570955,341.2088929570955,5094.527112525856,-472.5288249081641,472.5288249081641,4547.2173,74.78100246144186,74.78100246144186
2,2899.999930398012,1603.4652232651858,1296.5347071328263,2338.060725671299,561.9392047267129,561.9392047267129,2592.4781891235275,307.5217412744846,307.5217412744846,3076.185,-176.1851281957379,176.1851281957379
3,936.0001875765605,1113.1386545715457,-177.13846699498515,875.5033239028523,60.49686367370816,60.49686367370816,905.1020337646049,30.89815381195558,30.89815381195558,867.70557,68.2946211703105,68.2946211703105
4,2066.999743350117,1801.2287842467695,265.77095910334765,2284.327721790558,-217.3279784404408,217.3279784404408,2053.3358271896755,13.663916160441659,13.663916160441659,2251.5898,-184.59010039988289,184.59010039988289
5,3220.0011426807837,2024.1612387046432,1195.8399039761405,2610.6148914612477,609.386251219536,609.386251219536,2283.736824183383,936.2643184974008,936.2643184974008,3082.49,137.5111524464087,137.5111524464087
6,3220.0011426807837,2279.6792949287815,940.3218477520022,2299.8156154911176,920.1855271896661,920.1855271896661,2417.35397052626,802.6471721545236,802.6471721545236,2818.6387,401.3624708057837,401.3624708057837
7,2178.000366510243,1909.3149735614745,268.6853929487686,2612.9631301470613,-434.9627636368182,434.9627636368182,2204.3476158087315,-26.34724929848835,26.34724929848835,2447.6147,-269.6143795835069,269.6143795835069
8,8429.000499937476,8400.42385959964,28.57664033783658,7550.174485970309,878.8260139671665,878.8260139671665,7330.404878804292,1098.595621133184,1098.595621133184,6915.043,1513.957531187476,1513.957531187476
9,4074.9994267893753,1803.0762273400221,2271.923199449353,2421.0798800557454,1653.9195467336299,1653.9195467336299,2795.429534485185,1279.5698923041905,1279.5698923041905,3472.0256,602.9737920237503,602.9737920237503
10,9483.996048903009,7256.04626229573,2227.949786607279,8312.844249125752,1171.151799777257,1171.151799777257,8888.044792960593,595.9512559424165,595.9512559424165,9364.096,119.90034577800907,119.90034577800907
11,4609.998009272913,3948.5581428306623,661.4398664422506,4169.888089556596,440.10991971631665,440.10991971631665,5148.629362041122,-538.6313527682087,538.6313527682087,4414.2974,195.7006459916629,195.7006459916629
12,1105.0001882366626,1750.4464851938192,-645.4462969571566,1759.7494844827158,-654.7492962460533,654.7492962460533,1526.932908250729,-421.9327200140665,421.9327200140665,1699.0721,-594.071955318025,594.071955318025
13,2382.9998579296607,2642.564962957193,-259.56510502753235,2228.5332659884666,154.4665919411941,154.4665919411941,2204.7229989995985,178.2768589300622,178.2768589300622,1931.1605,451.8393354687232,451.8393354687232
14,1885.000183107719,1245.151766157065,639.8484169506542,1705.162912996412,179.83727011130713,179.83727011130713,1681.6667793894915,203.3334037182276,203.3334037182276,1889.1807,-4.180480954780933,4.180480954780933
15,1247.0002797818313,1133.2336707008467,113.76660908098461,1127.8581809609645,119.14209882086675,119.14209882086675,1367.766959573739,-120.76667979190779,120.76667979190779,1230.3221,16.678136227143796,16.678136227143796
16,3028.998743610418,3167.8976054020013,-138.89886179158339,3079.9031036763445,-50.90436006592654,50.90436006592654,2830.302678927559,198.69606468285883,198.69606468285883,2865.2903,163.70846040729293,163.70846040729293
17,7643.998734699301,4768.418427984652,2875.580306714649,6742.6167706901515,901.3819640091497,901.3819640091497,6683.654454669068,960.3442800302328,960.3442800302328,7158.397,485.60176204305117,485.60176204305117
18,1693.9999263348363,1476.9409916425825,217.05893469225384,1335.112000664702,358.88792567013434,358.88792567013434,1463.6308268161772,230.36909951865914,230.36909951865914,1487.3473,206.65263629577385,206.65263629577385
19,1538.0001372245815,2328.293461962974,-790.2933247383926,2060.7605315436617,-522.7603943190802,522.7603943190802,2161.692608653813,-623.6924714292313,623.6924714292313,1596.2949,-58.29478465041848,58.29478465041848
20,692.9999521309202,1707.478728456496,-1014.4787763255757,1480.0374461891138,-787.0374940581936,787.0374940581936,1487.3928414990326,-794.3928893681124,794.3928893681124,996.3238,-303.3238393729861,303.3238393729861
21,2737.999424655731,3989.9643518175735,-1251.9649271618423,5179.205375148863,-2441.2059504931317,2441.2059504931317,4682.492501109079,-1944.4930764533478,1944.4930764533478,4509.009,-1771.0093644067688,1771.0093644067688
22,1865.9998756329903,4357.594359105084,-2491.594483472093,2053.631855867424,-187.6319802344335,187.6319802344335,2128.4373407057374,-262.43746507274705,262.43746507274705,1895.1266,-29.126711281072176,29.126711281072176
23,1119.0000083677303,1155.41422507307,-36.41421670533964,898.8720843830993,220.12792398463102,220.12792398463102,943.837882005055,175.16212636267528,175.16212636267528,958.8138,160.18622662944904,160.18622662944904
24,1371.9999510994646,1625.0259107394863,-253.0259596400217,1572.3302440537586,-200.330292954294,200.330292954294,1729.272424909132,-357.2724738096674,357.2724738096674,1417.2837,-45.283740306785376,45.283740306785376
25,2673.0004344245253,2813.679851751372,-140.67941732684676,2600.6348375781513,72.36559684637405,72.36559684637405,2124.7828930848113,548.217541339714,548.217541339714,2353.2803,319.72016098702534,319.72016098702534
26,1355.0002413996522,1304.7623738119062,50.237867587745995,1453.856461112117,-98.85621971246474,98.85621971246474,1127.1869481587478,227.8132932409044,227.8132932409044,1342.8236,12.176633001214668,12.176633001214668
